dt,enter_cnt
2022-07-05,262094
2022-07-06,360280
2022-07-07,183081
2022-07-08,387577
2022-07-09,2673
2022-07-10,27719
2022-07-11,262856
2022-07-12,271400
2022-07-13,89301
2022-07-14,377708
2022-07-15,240307
2022-07-16,6953
2022-07-17,1277
2022-07-18,337202
2022-07-19,392709
2022-07-20,184096
2022-07-21,500326
2022-07-22,450744
2022-07-23,46131
2022-07-24,1995
2022-07-25,473721
2022-07-26,289880
2022-07-27,353369
2022-07-28,281886
2022-07-29,572240
2022-07-30,50586
2022-07-31,26589
2022-08-01,293140
2022-08-02,429828
2022-08-03,277406
2022-08-04,370217
2022-08-05,411354
2022-08-06,11641
2022-08-07,123923
2022-08-08,451018
2022-08-09,247724
2022-08-10,405899
2022-08-11,373344
2022-08-12,417887
2022-08-13,46190
2022-08-14,45532
2022-08-15,517155
2022-08-16,311144
2022-08-17,250362
2022-08-18,386824
2022-08-19,359126
2022-08-20,150640
2022-08-21,41217
2022-08-22,588101
2022-08-23,243952
2022-08-24,526570
2022-08-25,239520
2022-08-26,443970
2022-08-27,20163
2022-08-28,15075
2022-08-29,474406
2022-08-30,291133
2022-08-31,343171
2022-09-01,288365
2022-09-02,180492
2022-09-03,30222
2022-09-04,17032
2022-09-05,468388
2022-09-06,531864
2022-09-07,395568
2022-09-08,363507
2022-09-09,680366
2022-09-10,24631
2022-09-11,22716
2022-09-12,404414
2022-09-13,309788
2022-09-14,309172
2022-09-15,332278
2022-09-16,459329
2022-09-17,2390
2022-09-18,27439
2022-09-19,270385
2022-09-20,429758
2022-09-21,509678
2022-09-22,399661
2022-09-23,549677
2022-09-24,34428
2022-09-25,23344
2022-09-26,1034864
2022-09-27,436335
2022-09-28,334015
2022-09-29,415744
2022-09-30,498766
2022-10-01,15893
2022-10-02,28037
2022-10-03,614654
2022-10-04,219195
2022-10-05,459131
2022-10-06,505860
2022-10-07,346674
2022-10-08,12214
2022-10-09,23697
2022-10-10,604861
2022-10-11,552712
2022-10-12,356386
2022-10-13,493132
2022-10-14,454270
2022-10-15,195034
2022-10-16,71527
2022-10-17,994103
2022-10-18,490900
2022-10-19,384387
2022-10-20,550080
2022-10-21,355515
2022-10-22,96135
2022-10-23,9861
2022-10-24,576264
2022-10-25,420945
2022-10-26,333989
2022-10-27,384064
2022-10-28,400042
2022-10-29,132054
2022-10-30,93676
2022-10-31,738111
2022-11-01,666112
2022-11-02,503392
2022-11-03,285667
2022-11-04,275725
2022-11-05,63629
2022-11-06,197202
2022-11-07,596634
2022-11-08,404096
2022-11-09,536315
2022-11-10,487451
2022-11-11,535555
2022-11-12,90358
2022-11-13,5926
2022-11-14,774355
2022-11-15,558623
2022-11-16,396428
2022-11-17,544703
2022-11-18,479812
2022-11-19,109425
2022-11-20,112789
